cumulative_attempts	attempts	complete	unchanged	same_edge	self_loop	duplicate	undirected_duplicate	excluded	metaedge	abbrev	permutation
84215	16843	0.5	0.09877	0	0	0.13287	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
101058	16843	0.6	0.087774	5.9372e-05	0	0.13157	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
117901	16843	0.7	0.082763	0.00011874	0	0.13163	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
134744	16843	0.8	0.079937	0	0	0.12801	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
151587	16843	0.9	0.078299	5.9372e-05	0	0.13204	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
168430	16843	0.99999	0.076114	0	0	0.13204	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
168431	1	1	0.076114	0	0	1	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
19287	19288	0.1	0.50612	5.1846e-05	0	0.12578	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
38574	19287	0.2	0.28056	0.0001037	0	0.1305	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
57861	19287	0.3	0.17265	5.1848e-05	0	0.13532	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
77148	19287	0.4	0.12058	0	0	0.13589	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
96435	19287	0.5	0.097972	0.0001037	0	0.13092	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
115722	19287	0.6	0.085259	0	0	0.12936	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
135009	19287	0.7	0.078871	5.1848e-05	0	0.13009	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
154296	19287	0.8	0.076901	0	0	0.12786	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
173583	19287	0.9	0.075864	0	0	0.12993	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
192870	19287	0.99999	0.075802	0	0	0.12345	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
192871	1	1	0.075822	0	0	0	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	1
135469	135470	0.1	0.478	0	0	0.062316	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
270938	135469	0.2	0.23681	7.3818e-06	0	0.062804	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
406407	135469	0.3	0.12572	0	0	0.065838	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
541876	135469	0.4	0.07447	0	0	0.063985	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
677345	135469	0.5	0.051412	7.3818e-06	0	0.064649	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
812814	135469	0.6	0.040691	7.3818e-06	0	0.065447	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
948283	135469	0.7	0.035598	0	0	0.065528	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
1083752	135469	0.8	0.033194	7.3818e-06	0	0.063697	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
1219221	135469	0.9	0.031744	0	0	0.065779	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
1354690	135469	1	0.030823	1.4764e-05	0	0.065255	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
1354695	5	1	0.030823	0	0	0	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
33051	33052	0.1	0.50359	0	0	0.11473	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
66102	33051	0.2	0.27055	0	0	0.11876	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
99153	33051	0.3	0.15825	3.0256e-05	0	0.11679	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
132204	33051	0.4	0.10596	6.0513e-05	0	0.12181	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
165255	33051	0.49999	0.081158	0	0	0.12015	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
198306	33051	0.59999	0.067579	0	0	0.12172	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
231357	33051	0.69999	0.062242	3.0256e-05	0	0.12109	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
264408	33051	0.79999	0.061238	3.0256e-05	0	0.12217	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
297459	33051	0.89999	0.059822	3.0256e-05	0	0.12009	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
330510	33051	0.99998	0.058563	3.0256e-05	0	0.12157	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
330515	5	1	0.058563	0	0	0	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
190749	190750	0.1	0.49798	0	0	0.10565	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
381498	190749	0.2	0.26288	5.2425e-06	0	0.10747	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
572247	190749	0.3	0.15105	0	0	0.10615	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
762996	190749	0.4	0.099026	0	0	0.10917	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
953745	190749	0.5	0.07455	1.0485e-05	0	0.10745	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
1144494	190749	0.6	0.06299	0	0	0.10871	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
1335243	190749	0.7	0.057737	0	0	0.10912	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
1525992	190749	0.8	0.055145	5.2425e-06	0	0.10895	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
1716741	190749	0.9	0.053654	5.2425e-06	0	0.10799	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
1907490	190749	1	0.05275	5.2425e-06	0	0.10795	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
1907491	1	1	0.05275	0	0	0	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
28214	28215	0.1	0.49584	0	0	0.099025	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
56428	28214	0.2	0.26074	0	0	0.10342	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
84642	28214	0.3	0.15114	0	0	0.1031	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
112856	28214	0.4	0.09866	3.5443e-05	0	0.10293	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
141070	28214	0.5	0.074502	0	0	0.10495	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
169284	28214	0.6	0.063784	0	0	0.10718	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
197498	28214	0.7	0.05817	3.5443e-05	0	0.10357	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
225712	28214	0.8	0.053987	0	0	0.10463	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
253926	28214	0.9	0.053222	3.5443e-05	0	0.099738	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
282139	28213	1	0.052371	0	0	0.10197	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
32791	32792	0.1	0.47848	0	0	0.0591	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
65582	32791	0.2	0.23705	0	0	0.064499	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
98373	32791	0.3	0.12678	3.0496e-05	0	0.062944	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
131164	32791	0.4	0.07608	0	0	0.062578	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
163955	32791	0.49999	0.052196	0	0	0.063767	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
196746	32791	0.59999	0.040828	0	0	0.062304	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
229537	32791	0.69999	0.035643	3.0496e-05	0	0.062548	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
262328	32791	0.79999	0.033435	0	0	0.064042	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
295119	32791	0.89999	0.032399	0	0	0.062761	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
327910	32791	0.99998	0.03124	3.0496e-05	0	0.059833	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
327915	5	1	0.031252	0	0	0	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
386105	386106	0.1	0.46543	0	0	0.034273	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
772210	386105	0.2	0.2211	0	0	0.034089	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
1158315	386105	0.3	0.11005	7.7699e-06	0	0.034258	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
1544420	386105	0.4	0.05975	2.59e-06	0	0.033424	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
1930525	386105	0.5	0.036637	0	0	0.033237	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
2316630	386105	0.6	0.026208	0	0	0.033851	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
2702735	386105	0.7	0.021335	0	0	0.034035	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
3088840	386105	0.8	0.019155	0	0	0.033571	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
3474945	386105	0.9	0.018063	0	0	0.034239	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
3861050	386105	1	0.017525	2.59e-06	0	0.033708	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
3861051	1	1	0.017526	0	0	0	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
161146	161147	0.1	0.48692	0	0	0.083061	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
322292	161146	0.2	0.24911	6.2056e-06	0	0.081448	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
483438	161146	0.3	0.13841	0	0	0.081311	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
644584	161146	0.4	0.087337	0	0	0.081646	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
805730	161146	0.5	0.063699	0	0	0.081107	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
966876	161146	0.6	0.052874	0	0	0.081076	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
1128022	161146	0.7	0.047592	0	0	0.081287	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
1289168	161146	0.8	0.045631	6.2056e-06	0	0.081181	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
1450314	161146	0.9	0.044782	0	0	0.081628	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
1611459	161145	1	0.044057	0	0	0.081082	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
102696	102697	0.1	0.49064	0	0	0.090616	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
205392	102696	0.2	0.25452	0	0	0.094999	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
308088	102696	0.3	0.14364	0	0	0.094824	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
410784	102696	0.4	0.091641	0	0	0.095281	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
513480	102696	0.5	0.068119	0	0	0.095203	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
616176	102696	0.6	0.056161	0	0	0.094736	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
718872	102696	0.7	0.051168	0	0	0.096567	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
821568	102696	0.79999	0.048508	0	0	0.097482	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
924264	102696	0.89999	0.047585	0	0	0.097462	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
1026960	102696	0.99999	0.047082	0	0	0.097346	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
1026967	7	1	0.047082	0	0	0.14286	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
11976	11977	0.1	0.47138	0	0	0.052601	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
23952	11976	0.19999	0.22981	0	0	0.050017	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
35928	11976	0.29999	0.1195	0.000167	0	0.051019	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
47904	11976	0.39998	0.07224	0	0	0.053691	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
59880	11976	0.49997	0.047358	8.35e-05	0	0.048263	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
71856	11976	0.59997	0.037806	0	0	0.047512	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
83832	11976	0.69996	0.033064	8.35e-05	0	0.05152	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
95808	11976	0.79995	0.030092	0	0	0.047595	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
107784	11976	0.89995	0.028355	0	0	0.049098	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
119760	11976	0.99994	0.027854	0	0	0.049349	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
119767	7	1	0.027887	0	0	0.28571	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
7750	7751	0.1	0.45141	0.00012902	0	0.008515	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
15500	7750	0.19999	0.20849	0	0	0.0073548	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
23250	7750	0.29998	0.095784	0.00025806	0	0.0092903	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
31000	7750	0.39997	0.048408	0.00012903	0	0.0089032	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
38750	7750	0.49996	0.026165	0.00012903	0	0.0061935	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
46500	7750	0.59995	0.017805	0	0	0.008	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
54250	7750	0.69994	0.012799	0	0	0.008	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
62000	7750	0.79993	0.010115	0	0	0.0094194	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
69750	7750	0.89992	0.0085153	0.00012903	0	0.0072258	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
77500	7750	0.99991	0.0087733	0	0	0.0090323	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
77507	7	1	0.0088249	0	0	0	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
8098	8099	0.1	0.47177	0.00024694	0	0.056921	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
16196	8098	0.19999	0.23233	0.00012349	0	0.061003	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
24294	8098	0.29998	0.12229	0.00012349	0	0.062485	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
32392	8098	0.39997	0.0729	0.00012349	0	0.063596	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
40490	8098	0.49996	0.04939	0.00012349	0	0.062114	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
48588	8098	0.59995	0.040006	0	0	0.066807	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
56686	8098	0.69994	0.033635	0.00012349	0	0.05915	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
64784	8098	0.79993	0.031017	0	0	0.066436	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
72882	8098	0.89992	0.031313	0	0	0.066683	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
80980	8098	0.99991	0.030869	0	0	0.06693	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
80987	7	1	0.030869	0	0	0.14286	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
2926	2927	0.10002	0.49221	0.00068329	0	0.085412	0	0	Gene - participates - Cancer-Hallmarks	GpH	2
5852	2926	0.20001	0.25957	0.00034176	0	0.083049	0	0	Gene - participates - Cancer-Hallmarks	GpH	2
8778	2926	0.29999	0.14694	0	0	0.085099	0	0	Gene - participates - Cancer-Hallmarks	GpH	2
11704	2926	0.39998	0.099508	0	0	0.082707	0	0	Gene - participates - Cancer-Hallmarks	GpH	2
14630	2926	0.49997	0.073674	0.00034176	0	0.087491	0	0	Gene - participates - Cancer-Hallmarks	GpH	2
17556	2926	0.59995	0.061919	0	0	0.084074	0	0	Gene - participates - Cancer-Hallmarks	GpH	2
20482	2926	0.69994	0.058229	0	0	0.089542	0	0	Gene - participates - Cancer-Hallmarks	GpH	2
23408	2926	0.79992	0.056452	0.00034176	0	0.08715	0	0	Gene - participates - Cancer-Hallmarks	GpH	2
26334	2926	0.89991	0.051121	0	0	0.086124	0	0	Gene - participates - Cancer-Hallmarks	GpH	2
29260	2926	0.9999	0.053991	0	0	0.085099	0	0	Gene - participates - Cancer-Hallmarks	GpH	2
29263	3	1	0.053991	0	0	0	0	0	Gene - participates - Cancer-Hallmarks	GpH	2
41670	41671	0.1	0.48791	0	0	0.082359	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	2
83340	41670	0.2	0.25126	0	0	0.084065	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	2
125010	41670	0.3	0.14074	0	0	0.083057	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	2
166680	41670	0.39999	0.090173	0	0	0.084833	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	2
208350	41670	0.49999	0.065504	2.3998e-05	0	0.083609	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	2
250020	41670	0.59999	0.053918	0	0	0.081881	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	2
291690	41670	0.69999	0.049176	0	0	0.084041	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	2
333360	41670	0.79999	0.045615	2.3998e-05	0	0.084833	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	2
375030	41670	0.89999	0.043935	2.3998e-05	0	0.081977	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	2
416700	41670	0.99998	0.042985	0	0	0.083441	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	2
416707	7	1	0.042994	0	0	0.14286	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	2
16843	16844	0.1	0.51035	5.9368e-05	0	0.13103	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
33686	16843	0.2	0.28061	5.9372e-05	0	0.13145	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
50529	16843	0.3	0.17049	0.00011874	0	0.13578	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
67372	16843	0.4	0.11898	5.9372e-05	0	0.13406	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
84215	16843	0.5	0.092429	0	0	0.13121	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
101058	16843	0.6	0.08027	0	0	0.13276	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
117901	16843	0.7	0.074594	5.9372e-05	0	0.134	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
134744	16843	0.8	0.072765	0	0	0.12563	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
151587	16843	0.9	0.071435	0.00011874	0	0.12854	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
168430	16843	0.99999	0.072124	0	0	0.13246	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
168431	1	1	0.072124	0	0	0	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
19287	19288	0.1	0.50811	0.00010369	0	0.12676	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
38574	19287	0.2	0.27944	0	0	0.13294	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
57861	19287	0.3	0.17023	0.0001037	0	0.13076	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
77148	19287	0.4	0.11873	5.1848e-05	0	0.1277	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
96435	19287	0.5	0.093139	0	0	0.13169	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
115722	19287	0.6	0.079742	0	0	0.13004	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
135009	19287	0.7	0.075138	0	0	0.12786	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
154296	19287	0.8	0.074142	0	0	0.13169	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
173583	19287	0.9	0.071177	5.1848e-05	0	0.1332	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
192870	19287	0.99999	0.070845	0	0	0.12952	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
192871	1	1	0.070845	0	0	1	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
135469	135470	0.1	0.4805	7.3817e-06	0	0.066111	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
270938	135469	0.2	0.24011	0	0	0.064664	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
406407	135469	0.3	0.12853	0	0	0.064332	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
541876	135469	0.4	0.077535	0	0	0.064221	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
677345	135469	0.5	0.053535	0	0	0.064827	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
812814	135469	0.6	0.042717	0	0	0.064413	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
948283	135469	0.7	0.037195	0	0	0.064945	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
1083752	135469	0.8	0.034821	0	0	0.065727	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
1219221	135469	0.9	0.033619	1.4764e-05	0	0.064576	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
1354690	135469	1	0.033132	0	0	0.065528	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
1354695	5	1	0.033132	0	0	0	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
33051	33052	0.1	0.507	0	0	0.12399	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
66102	33051	0.2	0.27433	0	0	0.12093	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
99153	33051	0.3	0.16195	0	0	0.12148	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
132204	33051	0.4	0.10839	0	0	0.11682	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
165255	33051	0.49999	0.082465	3.0256e-05	0	0.12042	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
198306	33051	0.59999	0.070714	0	0	0.1183	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
231357	33051	0.69999	0.063283	3.0256e-05	0	0.11761	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
264408	33051	0.79999	0.059894	6.0513e-05	0	0.12211	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
297459	33051	0.89999	0.058623	0	0	0.11615	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
330510	33051	0.99998	0.058999	0	0	0.12275	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
330515	5	1	0.059011	0	0	0.2	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
